,InstrumentTicker,InstrumentLongName,bicsSector,bicsIndustry,bicsSubIndustry,Momentum,Size,Quality,Value,Volatility,Yield
65,LEN,LENNAR CORP CL A,Consumer Discretionary,Home & Office Products,Homebuilders,0.49141789941703834,-0.04155915947336163,0.06924210197303667,-0.08197328786106083,0.0866193517491412,-0.23855824554649804
71,AON,AON PLC,Financials,Insurance,Insurance Brokers,-0.32037753512540074,0.0726671653540411,1.3343800759844773,0.3368945122194055,0.17216710987513448,-0.6612642122897432
73,SEIC,SEI INVESTMENTS CO COM,Financials,Institutional Financial Svcs,"Instl Trust, Fiduciary & Custody",0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
74,FANG,DIAMONDBACK ENERGY INC,Energy,"Oil, Gas & Coal",Exploration & Production,-2.6101091751801486,-0.12196052171637821,0.29701184764307437,-0.3738813904310866,2.307595258999105,0.9209864488428812
76,MMM,3M CO COM,Materials,Chemicals,Specialty Chemicals,-0.765247796118939,0.8313493341407854,0.6289453954482362,-0.18843654042194988,-1.282122093922938,1.7516365910318983
77,INTU,INTUIT COM,Technology,Software,Application Software,-0.06702286101220094,0.5149070272893397,2.7729147894371873,1.7462845320020486,-0.08431317522573376,-0.07624065845738955
78,CTSH,COGNIZANT TECHNOLOGY CL A,Technology,Technology Services,IT Services,-0.10669134301527419,-0.9722107287624071,-0.7682972662241938,-0.5138687337839066,0.4917072967148018,-0.02755597412587941
80,AJG,GALLAGHER ARTHUR J & COM,Financials,Insurance,Insurance Brokers,0.20495644709074645,-0.39678104870814046,-0.8454685951303585,-0.19063533357785073,-0.20408542001365393,0.3717690961188693
83,DLR,DIGITAL RLTY TR INC COM,Financials,Real Estate,REIT,2.506312837654362,0.147863008509933,-0.6323521798745458,3.298995506766703,-1.5700703558379194,-1.075907136720317
84,LOW,LOWES COS INC COM,Consumer Discretionary,Retail - Discretionary,Home Products Stores,-1.3200100256356115,0.7901469925827412,0.7391519491602684,1.0164859790445098,0.6887530424507605,0.3014141983712845
85,SYK,STRYKER CORP COM,Health Care,Medical Equipment & Devices,Medical Devices,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
86,PAYX,PAYCHEX INC COM,Technology,Technology Services,Payment & Data Processors,-0.6374602718049425,-0.16634220483259313,0.0196952463409766,-0.15209243908515055,0.2775046993475812,1.04708610022346
88,ADI,ANALOG DEVICES INC COM,Technology,Semiconductors,Semiconductor Devices,-1.1241033996028869,-0.6463633831645068,-0.4719479218601159,-1.191605121899391,-0.09822970679451525,0.12505940417433456
90,NKE,NIKE INC CL B,Consumer Discretionary,Apparel & Textile Products,"Apparel, Footwear & Acc Design",0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
91,MA,MASTERCARD INC CL A,Financials,Specialty Finance,Consumer Finance,-0.2779319279829302,3.3532580291762475,2.4335496515515347,1.8155001323637916,0.7020002771315185,-0.22927107169303745
92,NVDA,NVIDIA CORP COM,Technology,Semiconductors,Semiconductor Devices,3.686619675997972,4.855466552968013,0.5386677126953702,3.0975924413790046,1.659660503690726,-2.278657313819485
93,WAB,WABTEC CORP COM,Industrials,Transportation Equipment,Railroad Rolling Stock,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
